Year,AG.LND.AGRI.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.POP.DNST,ER.H2O.INTR.PC,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SE.ADT.LITR.ZS,SE.PRM.ENRL,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SH.DYN.MORT,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SI.POV.DDAY,SL.UEM.TOTL.ZS,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.POP.1564.TO.ZS,SP.POP.DPND,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,GDP_per_Capita_lag1,Life_Expectancy_lag1,Crude_Birth_Rate_lag1,Pr_school_enrollment_lag1,Mortality_rate_lag1,Population_growth_rate_lag1
1974-01-01,37.14678579787669,49.29606783073938,73.35105720613188,37.10313208684096,10392.536802729894,5358933631570.206,1341.101255736457,65.5865478515625,463225664.0,28.48107,91.3224182128906,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,29.79469083997203,11.38356381847255,59.71366648291249,4.263727969057191,57.354578573078854,75.6270425079417,1.9355743895175408,3995920225.0,62.58218621657815,37.41781378342185,1189.397450778175,59.29467367233107,30.654845817697858,91.3931427001953,11.468881001869136,1.9880808720669876
1975-01-01,37.242388525921115,49.29606783073938,73.35105720613188,37.79171895086765,10196.991711481962,5990674140488.382,1471.8883589981504,65.5865478515625,478747200.0,28.62487,93.2952423095703,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,29.11536858977408,11.30720206032157,60.16614914652639,4.079910266829454,57.41069669839551,75.4618089957215,1.8553902687083763,4070060140.0,62.35058668355174,37.649413316448246,1341.101255736457,59.71366648291249,29.79469083997203,91.3224182128906,11.38356381847255,1.9355743895175408
1976-01-01,37.24294553918096,49.29606783073938,73.35105720613188,38.470319804072226,10012.138923729062,6508276319629.606,1570.8577292020057,65.5865478515625,490642144.0,28.63334,94.8346710205078,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,28.29109043641784,11.15058862178048,60.62583826479465,3.972327757053389,57.48315663818711,75.25240369573865,1.7954352389495654,4143135434.0,62.09000568820414,37.90999431179588,1471.8883589981504,60.16614914652639,29.11536858977408,93.2952423095703,11.30720206032157,1.8553902687083763
1977-01-01,37.28966253229293,49.29606783073938,73.35105720613188,39.145792496611215,9834.336522363228,7356785497915.235,1745.0191390382884,65.8783264160156,499985888.0,28.73086,95.3998184204102,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,27.892926407519916,10.787662678834884,61.120966079007225,3.84640929883884,57.669379337836176,74.67757409493957,1.7557052903233623,4215876682.0,61.82381999663746,38.17618000336254,1570.8577292020057,60.62583826479465,28.29109043641784,94.8346710205078,11.15058862178048,1.7954352389495654
1978-01-01,37.45449902392719,49.29606783073938,73.35105720613188,39.83267812649139,9659.564886852362,8700846272428.64,2028.2392340128215,66.5010375976562,502324896.0,28.57155,94.3859024047852,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,27.621339475578985,10.549061957635876,61.48148995615571,3.778312868691184,58.03611405056305,73.55081957113201,1.7546857173466035,4289852068.0,61.48816695139939,38.511833048600614,1745.0191390382884,61.120966079007225,27.892926407519916,95.3998184204102,10.787662678834884,1.7557052903233623
1979-01-01,37.532416659843385,49.29606783073938,73.35105720613188,40.53792103987111,9486.511395832998,10113430898732.744,2316.5111142397072,67.1550064086914,511570112.0,28.60349,94.9219436645508,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,27.53521911556284,10.382679024901542,61.90281717177587,3.7609823700285014,58.41392734672739,72.43033451815018,1.7704762960604654,4365802882.0,61.08445882254713,38.91554117745287,2028.2392340128215,61.48148995615571,27.621339475578985,94.3859024047852,10.549061957635876,1.7546857173466035
1980-01-01,37.65427139687117,49.29606783073938,73.35105720613188,41.24940880494926,9317.012251048982,11419164161217.658,2570.4847156842043,67.583381652832,524495680.0,28.34571,95.8893127441406,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,27.588739283512503,10.35019405683214,62.23361693996492,3.734730561801717,58.74462638373285,71.48132228904622,1.7548614555154387,4442416674.0,60.66986229485288,39.33013770514712,2316.5111142397072,61.90281717177587,27.53521911556284,94.9219436645508,10.382679024901542,1.7704762960604654
1981-01-01,37.70388827036709,49.29606783073938,73.35105720613188,41.97898814742937,9150.650705099768,11796482847017.688,2609.268009495125,68.2919082641602,533423360.0,28.16444,96.8663711547852,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,28.070958785609893,10.198730768768776,62.61140176530314,3.708080204469802,59.06101267871663,70.59773095340027,1.7687781396077185,4520993169.0,60.24484054121585,39.75515945878415,2570.4847156842043,62.23361693996492,27.588739283512503,95.8893127441406,10.35019405683214,1.7548614555154387
1982-01-01,37.82520671853376,49.29606783073938,73.35105720613188,42.73854384233235,8984.161390228506,11648085880486.305,2530.6602613244595,68.8494873046875,540214144.0,27.80012,97.8052291870117,93.0,8.622347667473873,476.66873114493177,43.2,4.996340371890472,28.27690960614726,10.117135633520933,62.97232218864961,3.72306277518666,59.3298934075236,69.86765040074721,1.8091631626617044,4602785312.0,59.86635711377473,40.13364288622528,2609.268009495125,62.61140176530314,28.070958785609893,96.8663711547852,10.198730768768776,1.7687781396077185
1983-01-01,37.89313471781113,49.29606783073938,73.35105720613188,43.50165286729179,8821.820176297257,11972210792643.611,2555.452189984109,69.5503997802734,544346048.0,27.42866,98.7516479492188,93.0,8.622347667473873,476.66873114493177,42.5,4.996340371890472,27.67945016101588,10.166240714720946,63.2157593749811,3.594357430111771,59.6221140300762,69.09469639389197,1.785491032695802,4684967631.0,59.52352197616218,40.47647802383781,2530.6602613244595,62.97232218864961,28.27690960614726,97.8052291870117,10.117135633520933,1.8091631626617044
